0	1.24786	1.09214	103088123	94.3907
1	2.5368	2.18055	206172389	94.7216
2	3.83906	3.28282	309083621	93.3693
3	5.16138	4.37533	412004852	94.2126
4	6.40014	5.48252	515046666	93.0728
5	7.68832	6.58066	618022885	93.7791
6	9.01167	7.67329	720894340	94.1562
7	10.447	8.73626	823725660	96.7462
8	11.8445	9.82031	926496097	94.809
9	13.1213	10.938	1029435697	92.1046
10	14.4374	11.9851	1132365247	98.3106
11	15.8244	13.0653	1235137916	95.1446
12	17.0799	14.1724	1338032500	92.9493
13	18.3785	15.2566	1440919489	94.9026
14	19.7099	16.3381	1543750995	95.0868
15	20.9459	17.4266	1646770650	94.6537
16	22.2383	18.5132	1749641934	94.6731
17	23.49	19.5947	1852701613	95.3013
18	24.751	20.679	1955756583	95.0508
19	26.0227	21.7939	2058748576	92.3842
20	27.2819	22.8732	2161781548	95.4706
21	28.5666	23.9799	2264810289	93.1005
22	29.8285	25.021	2367778589	98.9107
23	31.1961	26.1115	2470612019	94.3099
24	32.4786	27.2017	2573577259	94.4556
25	33.7882	28.3013	2676440811	93.5486
26	35.0635	29.3686	2779488983	96.5562
27	36.3785	30.44	2882493031	96.146
