set contour 
set terminal gif animate 
set out 'anim.gif' 
splot '-' w pm3d 
0 0 1
0 0.1 1
0 0.2 1
0 0.3 1
0 0.4 1
0 0.5 1
0 0.6 1
0 0.7 1
0 0.8 1
0 0.9 1
0 1 1
0 1.1 1
0 1.2 1
0 1.3 1
0 1.4 1
0 1.5 1
0 1.6 1
0 1.7 1
0 1.8 1
0 1.9 1
0 2 1

0.1 0 0
0.1 0.1 0.75
0.1 0.2 0.9375
0.1 0.3 0.984375
0.1 0.4 0.996094
0.1 0.5 0.999023
0.1 0.6 0.999756
0.1 0.7 0.999939
0.1 0.8 0.999985
0.1 0.9 0.999996
0.1 1 0.999999
0.1 1.1 1
0.1 1.2 1
0.1 1.3 1
0.1 1.4 1
0.1 1.5 1
0.1 1.6 1
0.1 1.7 1
0.1 1.8 1
0.1 1.9 0.75
0.1 2 0

0.2 0 0
0.2 0.1 0.6875
0.2 0.2 0.90625
0.2 0.3 0.972656
0.2 0.4 0.992188
0.2 0.5 0.997803
0.2 0.6 0.99939
0.2 0.7 0.999832
0.2 0.8 0.999954
0.2 0.9 0.999988
0.2 1 0.999997
0.2 1.1 0.999999
0.2 1.2 1
0.2 1.3 1
0.2 1.4 1
0.2 1.5 1
0.2 1.6 1
0.2 1.7 1
0.2 1.8 1
0.2 1.9 0.6875
0.2 2 0

0.3 0 0
0.3 0.1 0.671875
0.3 0.2 0.894531
0.3 0.3 0.966797
0.3 0.4 0.989746
0.3 0.5 0.996887
0.3 0.6 0.999069
0.3 0.7 0.999725
0.3 0.8 0.99992
0.3 0.9 0.999977
0.3 1 0.999993
0.3 1.1 0.999998
0.3 1.2 0.999999
0.3 1.3 1
0.3 1.4 1
0.3 1.5 1
0.3 1.6 1
0.3 1.7 1
0.3 1.8 1
0.3 1.9 0.671875
0.3 2 0

0.4 0 0
0.4 0.1 0.667969
0.4 0.2 0.890625
0.4 0.3 0.964355
0.4 0.4 0.988525
0.4 0.5 25.7464
0.4 0.6 31.9364
0.4 0.7 33.484
0.4 0.8 33.871
0.4 0.9 33.9677
0.4 1 33.9919
0.4 1.1 33.998
0.4 1.2 33.9995
0.4 1.3 33.9999
0.4 1.4 34
0.4 1.5 34
0.4 1.6 9.25
0.4 1.7 3.0625
0.4 1.8 1.51562
0.4 1.9 0.796875
0.4 2 0

0.5 0 0
0.5 0.1 1
0.5 0.2 1
0.5 0.3 1
0.5 0.4 1
0.5 0.5 100
0.5 0.6 100
0.5 0.7 100
0.5 0.8 100
0.5 0.9 100
0.5 1 100
0.5 1.1 100
0.5 1.2 100
0.5 1.3 100
0.5 1.4 100
0.5 1.5 100
0.5 1.6 1
0.5 1.7 1
0.5 1.8 1
0.5 1.9 1
0.5 2 0

0.6 0 0
0.6 0.1 0.75
0.6 0.2 0.9375
0.6 0.3 0.984375
0.6 0.4 0.996094
0.6 0.5 25.749
0.6 0.6 31.9373
0.6 0.7 33.4843
0.6 0.8 33.8711
0.6 0.9 33.9678
0.6 1 33.9919
0.6 1.1 33.998
0.6 1.2 33.9995
0.6 1.3 33.9999
0.6 1.4 34
0.6 1.5 34
0.6 1.6 9.25
0.6 1.7 3.0625
0.6 1.8 1.51562
0.6 1.9 0.878906
0.6 2 0

0.7 0 0
0.7 0.1 0.6875
0.7 0.2 0.90625
0.7 0.3 0.972656
0.7 0.4 0.992188
0.7 0.5 7.1853
0.7 0.6 10.2806
0.7 0.7 11.4412
0.7 0.8 11.8281
0.7 0.9 11.949
0.7 1 11.9852
0.7 1.1 11.9958
0.7 1.2 11.9988
0.7 1.3 11.9997
0.7 1.4 11.9999
0.7 1.5 12
0.7 1.6 5.81249
0.7 1.7 2.71875
0.7 1.8 1.55859
0.7 1.9 0.859375
0.7 2 0

0.8 0 0
0.8 0.1 0.671875
0.8 0.2 0.894531
0.8 0.3 0.966797
0.8 0.4 0.989746
0.8 0.5 2.54376
0.8 0.6 3.7061
0.8 0.7 4.28683
0.8 0.8 4.52873
0.8 0.9 4.61942
0.8 1 4.65116
0.8 1.1 4.66174
0.8 1.2 4.66514
0.8 1.3 4.6662
0.8 1.4 4.66653
0.8 1.5 4.66663
0.8 1.6 3.11978
0.8 1.7 1.95963
0.8 1.8 1.37956
