set contour 
set terminal gif animate 
set out 'anim.gif' 
splot '-' w pm3d 
1.2 1.6 1.00019
1.2 1.7 1.00019
1.2 1.8 1.00019
1.2 1.9 0.666853
1.2 2 0

1.3 0 0
1.3 0.1 0.666668
1.3 0.2 0.888895
1.3 0.3 0.962978
1.3 0.4 0.98768
1.3 0.5 0.99592
1.3 0.6 0.998673
1.3 0.7 0.999594
1.3 0.8 0.999903
1.3 0.9 1.00001
1.3 1 1.00004
1.3 1.1 1.00006
1.3 1.2 1.00006
1.3 1.3 1.00006
1.3 1.4 1.00006
1.3 1.5 1.00006
1.3 1.6 1.00006
1.3 1.7 1.00006
1.3 1.8 1.00006
1.3 1.9 0.666729
1.3 2 0

1.4 0 0
1.4 0.1 0.666667
1.4 0.2 0.888891
1.4 0.3 0.962967
1.4 0.4 0.987662
1.4 0.5 0.995896
1.4 0.6 0.998642
1.4 0.7 0.999559
1.4 0.8 0.999866
1.4 0.9 0.999968
1.4 1 1
1.4 1.1 1.00001
1.4 1.2 1.00002
1.4 1.3 1.00002
1.4 1.4 1.00002
1.4 1.5 1.00002
1.4 1.6 1.00002
1.4 1.7 1.00002
1.4 1.8 1.00002
1.4 1.9 0.666687
1.4 2 0

1.5 0 0
1.5 0.1 0.666667
1.5 0.2 0.888889
1.5 0.3 0.962964
1.5 0.4 0.987656
1.5 0.5 0.995888
1.5 0.6 0.998633
1.5 0.7 0.999548
1.5 0.8 0.999853
1.5 0.9 0.999955
1.5 1 0.99999
1.5 1.1 1
1.5 1.2 1
1.5 1.3 1.00001
1.5 1.4 1.00001
1.5 1.5 1.00001
1.5 1.6 1.00001
1.5 1.7 1.00001
1.5 1.8 1.00001
1.5 1.9 0.666674
1.5 2 0

1.6 0 0
1.6 0.1 0.666667
1.6 0.2 0.888889
1.6 0.3 0.962963
1.6 0.4 0.987655
1.6 0.5 0.995886
1.6 0.6 0.99863
1.6 0.7 0.999544
1.6 0.8 0.999849
1.6 0.9 0.999951
1.6 1 0.999985
1.6 1.1 0.999997
1.6 1.2 1
1.6 1.3 1
1.6 1.4 1
1.6 1.5 1
1.6 1.6 1
1.6 1.7 1
1.6 1.8 1
1.6 1.9 0.666669
1.6 2 0

1.7 0 0
1.7 0.1 0.666667
1.7 0.2 0.888889
1.7 0.3 0.962963
1.7 0.4 0.987654
1.7 0.5 0.995885
1.7 0.6 0.998629
